Order_ID,Order_Date,Customer_ID,Customer_Name,Product_ID,Product_Name,Category,Sub_Category,Region,State,Quantity,Unit_Price,Sales,Discount,Cost,Profit,Payment_Mode,Customer_Type,Revenue,Profit_Margin,Month,Quarter,Year
ORD114561,2024-01-09,CUST02715,Aditya Nair,PRD-ELE-015,Headphones Elite 15,Electronics,Headphones,South,Kerala,1,29209.15,29209.15,0.1,22813.57,3474.66,UPI,New,26288.24,0.1322,2024-01,2024Q1,2024
ORD105612,2024-04-27,CUST02764,Ananya Patel,PRD-BOO-027,Comic Book Elite 27,Books,Comic Book,North,Delhi,1,481.94,481.94,0.0,326.02,155.92,Credit Card,Returning,481.94,0.3235,2024-04,2024Q2,2024
ORD110016,2024-06-11,CUST00271,Isha Nair,PRD-FAS-014,Jeans Lite 14,Fashion,Jeans,North,Delhi,3,2395.89,7187.67,0.05,3843.99,2984.3,UPI,Returning,6828.29,0.437,2024-06,2024Q2,2024
ORD117391,2023-08-25,CUST02018,Kiara Chopra,PRD-BEA-003,Sunscreen Air 3,Beauty,Sunscreen,West,Rajasthan,1,2028.73,2028.73,0.15,971.77,752.65,Credit Card,Returning,1724.42,0.4365,2023-08,2023Q3,2023
ORD111180,2024-10-12,CUST03028,Riya Joshi,PRD-BEA-002,Lipstick Elite 2,Beauty,Lipstick,North,Haryana,1,672.15,672.15,0.0,344.22,327.93,UPI,Returning,672.15,0.4879,2024-10,2024Q4,2024
ORD105463,2023-07-21,CUST02123,Ananya Bose,PRD-ELE-003,Camera Lite 3,Electronics,Camera,West,Goa,1,30486.67,30486.67,0.1,24262.08,3175.92,UPI,Returning,27438.0,0.1157,2023-07,2023Q3,2023
ORD113843,2024-02-07,CUST00623,Reyansh Joshi,PRD-BEA-016,Lipstick Air 16,Beauty,Lipstick,South,Karnataka,2,746.83,1493.66,0.05,725.68,693.3,Credit Card,Returning,1418.98,0.4886,2024-02,2024Q1,2024
ORD110497,2024-02-03,CUST00383,Krishna Das,PRD-SPO-004,Cycling Helmet Air 4,Sports,Cycling Helmet,East,Odisha,1,5952.95,5952.95,0.2,3744.22,1018.14,UPI,New,4762.36,0.2138,2024-02,2024Q1,2024
ORD112293,2024-06-23,CUST01232,Aadhya Mehta,PRD-BEA-001,Lipstick Lite 1,Beauty,Lipstick,East,Jharkhand,1,1379.65,1379.65,0.0,719.32,660.33,Net Banking,Returning,1379.65,0.4786,2024-06,2024Q2,2024
ORD104753,2024-05-02,CUST01975,Sai Pillai,PRD-HOM-001,Bedsheet Set Plus 1,Home & Kitchen,Bedsheet Set,West,Maharashtra,2,1201.78,2403.56,0.2,1631.16,291.69,UPI,New,1922.85,0.1517,2024-05,2024Q2,2024
ORD114704,2023-06-16,CUST00175,Vihaan Patel,PRD-BEA-012,Perfume Basic 12,Beauty,Perfume,West,Rajasthan,1,751.65,751.65,0.1,391.55,284.93,Cash on Delivery,Returning,676.48,0.4212,2023-06,2023Q2,2023
ORD107346,2023-02-10,CUST03233,Myra Kumar,PRD-FAS-030,Handbag Elite 30,Fashion,Handbag,South,Telangana,2,1976.2,3952.4,0.05,2165.16,1589.62,Credit Card,New,3754.78,0.4234,2023-02,2023Q1,2023
ORD113525,2024-08-21,CUST03028,Riya Joshi,PRD-FAS-025,Jacket Max 25,Fashion,Jacket,East,Unknown,2,4372.91,8745.82,0.0,4761.36,3984.46,UPI,Returning,8745.82,0.4556,2024-08,2024Q3,2024
ORD115125,2023-11-14,CUST04129,Anika Chopra,PRD-HOM-019,Mixer Grinder Classic 19,Home & Kitchen,Mixer Grinder,West,Goa,2,1607.18,3214.36,0.0,2118.1,1096.26,UPI,Returning,3214.36,0.3411,2023-11,2023Q4,2023
ORD108402,2024-06-24,CUST02606,Vihaan Chopra,PRD-HOM-002,Air Purifier Air 2,Home & Kitchen,Air Purifier,South,Karnataka,1,9101.88,9101.88,0.0,6205.95,2895.93,Credit Card,New,9101.88,0.3182,2024-06,2024Q2,2024
ORD116627,2023-12-23,CUST00477,Ayaan Malhotra,PRD-BEA-016,Lipstick Air 16,Beauty,Lipstick,East,Odisha,5,740.99,3704.95,0.0,1769.85,1935.1,UPI,Returning,3704.95,0.5223,2023-12,2023Q4,2023
ORD116096,2023-02-03,CUST02670,Diya Patel,PRD-HOM-025,Mixer Grinder Plus 25,Home & Kitchen,Mixer Grinder,West,Gujarat,2,11162.82,22325.64,0.0,15249.4,7076.24,Credit Card,Returning,22325.64,0.317,2023-02,2023Q1,2023
ORD112348,2023-04-30,CUST01849,Ishaan Menon,PRD-ELE-019,Tablet Plus 19,Electronics,Tablet,South,Kerala,3,17494.94,52484.82,0.25,40993.68,-1630.06,Net Banking,New,39363.62,-0.0414,2023-04,2023Q2,2023
ORD101537,2023-05-03,CUST00304,Navya Malhotra,PRD-HOM-020,Cookware Set Elite 20,Home & Kitchen,Cookware Set,West,Gujarat,1,9072.45,9072.45,0.15,5944.59,1766.99,UPI,New,7711.58,0.2291,2023-05,2023Q2,2023
ORD108430,2023-09-17,CUST02230,Saanvi Rao,PRD-BEA-011,Hair Dryer Air 11,Beauty,Hair Dryer,West,Maharashtra,4,2830.33,11321.32,0.15,5845.04,3778.08,Unknown,New,9623.12,0.3926,2023-09,2023Q3,2023
ORD100154,2023-08-09,CUST03870,Vivaan Sharma,PRD-BOO-005,Fiction Novel Lite 5,Books,Fiction Novel,West,Goa,1,1039.89,1039.89,0.0,761.21,278.68,Cash on Delivery,Returning,1039.89,0.268,2023-08,2023Q3,2023
ORD105671,2023-05-31,CUST01340,Sai Malhotra,PRD-BEA-018,Lipstick Pro 18,Beauty,Lipstick,East,Bihar,1,2980.0,2980.0,0.0,1426.68,1553.32,UPI,Returning,2980.0,0.5212,2023-05,2023Q2,2023
ORD108352,2024-07-08,CUST00421,Diya Verma,PRD-SPO-027,Cycling Helmet Pro 27,Sports,Cycling Helmet,West,Maharashtra,3,7155.9,21467.7,0.25,13105.23,2995.55,Credit Card,New,16100.78,0.186,2024-07,2024Q3,2024
ORD104189,2023-01-11,CUST00399,Arjun Singh,PRD-HOM-007,Cookware Set Basic 7,Home & Kitchen,Cookware Set,East,West Bengal,3,5547.48,16642.44,0.1,11335.02,3643.18,Net Banking,New,14978.2,0.2432,2023-01,2023Q1,2023
ORD109221,2024-10-07,CUST03314,Ayaan Verma,PRD-ELE-026,Headphones Max 26,Electronics,Headphones,South,Kerala,1,42030.08,42030.08,0.1,34947.09,2879.98,Debit Card,New,37827.07,0.0761,2024-10,2024Q4,2024
ORD104502,2023-10-08,CUST02019,Myra Iyer,PRD-BEA-001,Lipstick Lite 1,Beauty,Lipstick,West,Gujarat,2,1340.61,2681.22,0.05,1282.68,1264.48,Debit Card,Returning,2547.16,0.4964,2023-10,2023Q4,2023
ORD107465,2023-11-06,CUST00351,Ayaan Singh,PRD-BOO-024,Self-Help Book Lite 24,Books,Self-Help Book,North,Punjab,4,724.76,2899.04,0.05,2029.72,724.37,UPI,Returning,2754.09,0.263,2023-11,2023Q4,2023
ORD104905,2023-05-20,CUST00163,Aarav Nair,PRD-HOM-001,Bedsheet Set Plus 1,Home & Kitchen,Bedsheet Set,East,Jharkhand,1,1172.02,1172.02,0.0,807.98,364.04,Credit Card,Returning,1172.02,0.3106,2023-05,2023Q2,2023
ORD107498,2023-11-17,CUST02586,Myra Reddy,PRD-SPO-010,Dumbbell Set Pro 10,Sports,Dumbbell Set,West,Rajasthan,1,3884.87,3884.87,0.0,2524.28,1360.59,Credit Card,Returning,3884.87,0.3502,2023-11,2023Q4,2023
ORD107635,2023-12-06,CUST01365,Vihaan Nair,PRD-SPO-020,Dumbbell Set Air 20,Sports,Dumbbell Set,South,Kerala,1,3806.32,3806.32,0.2,2245.48,799.58,Credit Card,Returning,3045.06,0.2626,2023-12,2023Q4,2023
ORD103439,2023-01-20,CUST00298,Sai Agarwal,PRD-SPO-008,Running Shoes Plus 8,Sports,Running Shoes,South,Karnataka,1,755.54,755.54,0.15,451.55,190.66,Debit Card,Returning,642.21,0.2969,2023-01,2023Q1,2023
ORD113456,2023-11-28,CUST02909,Aarav Mehta,PRD-SPO-013,Cricket Bat Max 13,Sports,Cricket Bat,West,Goa,1,4099.04,4099.04,0.1,2458.5,1230.64,Credit Card,New,3689.14,0.3336,2023-11,2023Q4,2023
ORD108238,2024-04-27,CUST00948,Saanvi Reddy,PRD-BEA-023,Sunscreen Lite 23,Beauty,Sunscreen,South,Karnataka,1,2665.55,2665.55,0.1,1388.29,1010.7,UPI,New,2399.0,0.4213,2024-04,2024Q2,2024
ORD103582,2023-07-28,CUST01763,Ishaan Chopra,PRD-HOM-027,Air Purifier Elite 27,Home & Kitchen,Air Purifier,South,Tamil Nadu,2,7888.93,15777.86,0.05,10466.24,4522.73,Credit Card,Returning,14988.97,0.3017,2023-07,2023Q3,2023
ORD105477,2024-08-26,CUST02431,Diya Chopra,PRD-BOO-018,Textbook Plus 18,Books,Textbook,East,Odisha,1,632.05,632.05,0.2,448.59,57.05,Debit Card,New,505.64,0.1128,2024-08,2024Q3,2024
ORD116100,2023-04-27,CUST02427,Ananya Kapoor,PRD-ELE-004,Smartwatch Pro 4,Electronics,Smartwatch,South,Karnataka,1,33702.56,33702.56,0.1,27275.35,3056.95,Credit Card,Returning,30332.3,0.1008,2023-04,2023Q2,2023
ORD110879,2023-07-29,CUST02238,Aadhya Agarwal,PRD-BEA-007,Perfume Air 7,Beauty,Perfume,South,Karnataka,2,535.33,1070.66,0.25,556.66,246.33,UPI,New,803.0,0.3068,2023-07,2023Q3,2023
ORD106024,2023-09-02,CUST02984,Krishna Sharma,PRD-SPO-030,Dumbbell Set Basic 30,Sports,Dumbbell Set,North,Unknown,1,2804.68,2804.68,0.05,1692.68,971.77,UPI,Returning,2664.45,0.3647,2023-09,2023Q3,2023
ORD104745,2024-05-01,CUST01632,Reyansh Iyer,PRD-BEA-004,Sunscreen Max 4,Beauty,Sunscreen,West,Rajasthan,3,2197.28,6591.84,0.0,3131.88,3459.96,UPI,New,6591.84,0.5249,2024-05,2024Q2,2024
ORD109760,2023-02-22,CUST02150,Myra Das,PRD-BEA-025,Sunscreen Basic 25,Beauty,Sunscreen,South,Tamil Nadu,1,271.83,271.83,0.05,135.27,122.97,UPI,New,258.24,0.4762,2023-02,2023Q1,2023
ORD111461,2024-09-18,CUST03817,Kiara Malhotra,PRD-ELE-020,Camera Basic 20,Electronics,Camera,West,Gujarat,1,32125.69,32125.69,0.0,26349.05,5776.64,UPI,New,32125.69,0.1798,2024-09,2024Q3,2024
ORD116013,2023-07-05,CUST01887,Reyansh Malhotra,PRD-BOO-017,Self-Help Book Classic 17,Books,Self-Help Book,South,Telangana,1,552.96,552.96,0.1,387.31,110.35,Net Banking,New,497.66,0.2217,2023-07,2023Q3,2023
ORD100023,2023-06-05,CUST03506,Vivaan Reddy,PRD-ELE-010,Smartwatch Classic 10,Electronics,Smartwatch,West,Gujarat,1,57525.08,57525.08,0.1,44251.57,7521.0,Debit Card,New,51772.57,0.1453,2023-06,2023Q2,2023
ORD114991,2023-04-02,CUST03765,Navya Rao,PRD-SPO-012,Dumbbell Set Pro 12,Sports,Dumbbell Set,North,Haryana,2,3398.63,6797.26,0.2,4206.56,1231.25,Credit Card,Returning,5437.81,0.2264,2023-04,2023Q2,2023
ORD110493,2023-10-25,CUST04078,Isha Chopra,PRD-FAS-021,Sunglasses Elite 21,Fashion,Sunglasses,South,Tamil Nadu,1,2158.22,2158.22,0.15,1211.9,622.59,Cash on Delivery,Returning,1834.49,0.3394,2023-10,2023Q4,2023
ORD107824,2024-09-13,CUST04099,Krishna Iyer,PRD-ELE-006,Laptop Air 6,Electronics,Laptop,North,Haryana,4,38522.41,154089.64,0.0,117684.76,36404.88,Cash on Delivery,New,154089.64,0.2363,2024-09,2024Q3,2024
ORD113871,2024-02-21,CUST02816,Isha Bose,PRD-BOO-030,Textbook Elite 30,Books,Textbook,West,Maharashtra,1,756.15,756.15,0.05,537.5,180.84,Cash on Delivery,New,718.34,0.2517,2024-02,2024Q1,2024
ORD114528,2024-11-22,CUST01571,Krishna Verma,PRD-FAS-023,Jacket Lite 23,Fashion,Jacket,North,Haryana,1,2599.96,2599.96,0.3,1500.83,319.14,Credit Card,New,1819.97,0.1754,2024-11,2024Q4,2024
ORD112376,2023-11-03,CUST02682,Diya Malhotra,PRD-HOM-002,Air Purifier Air 2,Home & Kitchen,Air Purifier,East,Bihar,1,9167.49,9167.49,0.05,6383.92,2325.2,UPI,New,8709.12,0.267,2023-11,2023Q4,2023
ORD107188,2023-08-31,CUST03808,Saanvi Verma,PRD-BEA-027,Hair Dryer Lite 27,Beauty,Hair Dryer,North,Punjab,3,2137.89,6413.67,0.0,3090.51,3323.16,Debit Card,Returning,6413.67,0.5181,2023-08,2023Q3,2023
ORD113906,2023-06-24,CUST02359,Riya Chopra,PRD-SPO-027,Cycling Helmet Pro 27,Sports,Cycling Helmet,South,Telangana,1,6920.4,6920.4,0.0,4364.78,2555.62,Credit Card,New,6920.4,0.3693,2023-06,2023Q2,2023
ORD100005,2024-10-23,CUST01251,Diya Iyer,PRD-SPO-012,Dumbbell Set Pro 12,Sports,Dumbbell Set,East,Jharkhand,4,3416.14,13664.56,0.15,8609.24,3005.64,Debit Card,Returning,11614.88,0.2588,2024-10,2024Q4,2024
ORD108323,2023-12-30,CUST02283,Ayaan Sharma,PRD-FAS-007,Jeans Max 7,Fashion,Jeans,South,Karnataka,2,1676.1,3352.2,0.0,1908.32,1443.88,Credit Card,Returning,3352.2,0.4307,2023-12,2023Q4,2023
ORD106350,2024-01-11,CUST00769,Aadhya Malhotra,PRD-BEA-011,Hair Dryer Air 11,Beauty,Hair Dryer,South,Kerala,5,2574.28,12871.4,0.15,6554.25,4386.44,UPI,New,10940.69,0.4009,2024-01,2024Q1,2024
ORD103984,2023-12-06,CUST01948,Vihaan Agarwal,PRD-ELE-002,Laptop Elite 2,Electronics,Laptop,North,Delhi,4,33249.48,132997.92,0.0,102843.96,30153.96,Net Banking,New,132997.92,0.2267,2023-12,2023Q4,2023
ORD116883,2024-07-19,CUST03971,Isha Kumar,PRD-SPO-027,Cycling Helmet Pro 27,Sports,Cycling Helmet,North,Delhi,1,6731.8,6731.8,0.0,4127.47,2604.33,UPI,Returning,6731.8,0.3869,2024-07,2024Q3,2024
ORD104794,2023-08-07,CUST01080,Sai Malhotra,PRD-SPO-010,Dumbbell Set Pro 10,Sports,Dumbbell Set,West,Goa,1,3482.24,3482.24,0.15,2262.85,697.05,UPI,Returning,2959.9,0.2355,2023-08,2023Q3,2023
ORD116192,2024-09-20,CUST02438,Kiara Rao,PRD-FAS-012,T-Shirt Classic 12,Fashion,T-Shirt,East,West Bengal,1,3820.67,3820.67,0.0,2202.96,1617.71,UPI,New,3820.67,0.4234,2024-09,2024Q3,2024
ORD116616,2024-08-10,CUST03599,Reyansh Verma,PRD-ELE-027,Headphones Classic 27,Electronics,Headphones,East,West Bengal,3,49757.85,149273.55,0.1,119197.68,15148.51,Credit Card,Returning,134346.2,0.1128,2024-08,2024Q3,2024
ORD112866,2023-01-24,CUST02999,Aarav Chopra,PRD-BOO-011,Self-Help Book Elite 11,Books,Self-Help Book,West,Rajasthan,1,493.11,493.11,0.3,352.12,-6.94,Credit Card,Returning,345.18,-0.0201,2023-01,2023Q1,2023
ORD103440,2024-11-24,CUST03329,Ishaan Kumar,PRD-ELE-020,Camera Basic 20,Electronics,Camera,North,Uttar Pradesh,1,30894.09,30894.09,0.0,23483.9,7410.19,UPI,Returning,30894.09,0.2399,2024-11,2024Q4,2024
ORD103190,2024-01-02,CUST03109,Navya Bose,PRD-BOO-015,Cookbook Pro 15,Books,Cookbook,South,Tamil Nadu,2,1153.86,2307.72,0.0,1549.46,758.26,Debit Card,New,2307.72,0.3286,2024-01,2024Q1,2024
ORD106736,2023-06-08,CUST00327,Myra Malhotra,PRD-ELE-011,Smartphone Classic 11,Electronics,Smartphone,West,Goa,1,56345.85,56345.85,0.0,44126.24,12219.61,Cash on Delivery,Returning,56345.85,0.2169,2023-06,2023Q2,2023
ORD100707,2023-03-19,CUST00615,Anika Reddy,PRD-SPO-015,Cricket Bat Classic 15,Sports,Cricket Bat,West,Rajasthan,2,6718.63,13437.26,0.05,8302.7,4462.7,Cash on Delivery,Returning,12765.4,0.3496,2023-03,2023Q1,2023
ORD115077,2024-05-04,CUST00573,Vivaan Bose,PRD-FAS-016,Sneakers Classic 16,Fashion,Sneakers,East,Jharkhand,1,2356.29,2356.29,0.1,1271.07,849.59,Credit Card,Returning,2120.66,0.4006,2024-05,2024Q2,2024
ORD107235,2024-03-15,CUST00875,Ananya Agarwal,PRD-HOM-010,Bedsheet Set Elite 10,Home & Kitchen,Bedsheet Set,East,West Bengal,3,10698.84,32096.52,0.0,22786.83,9309.69,Net Banking,Returning,32096.52,0.2901,2024-03,2024Q1,2024
ORD104386,2023-04-29,CUST03129,Aarav Verma,PRD-SPO-014,Running Shoes Basic 14,Sports,Running Shoes,East,Odisha,1,2583.55,2583.55,0.0,1584.11,999.44,Credit Card,Returning,2583.55,0.3868,2023-04,2023Q2,2023
ORD104340,2023-10-04,CUST00459,Sai Sharma,PRD-BEA-003,Sunscreen Air 3,Beauty,Sunscreen,South,Karnataka,1,1988.22,1988.22,0.1,970.95,818.45,Credit Card,Returning,1789.4,0.4574,2023-10,2023Q4,2023
ORD104767,2024-04-01,CUST00689,Arjun Das,PRD-BOO-010,Comic Book Elite 10,Books,Comic Book,East,West Bengal,1,1074.59,1074.59,0.1,716.93,250.2,UPI,New,967.13,0.2587,2024-04,2024Q2,2024
ORD117360,2023-04-22,CUST02964,Arjun Bose,PRD-HOM-002,Air Purifier Air 2,Home & Kitchen,Air Purifier,North,Haryana,1,10010.51,10010.51,0.1,6707.71,2301.75,Net Banking,New,9009.46,0.2555,2023-04,2023Q2,2023
ORD112903,2024-07-24,CUST00771,Saanvi Sharma,PRD-SPO-015,Cricket Bat Classic 15,Sports,Cricket Bat,East,West Bengal,1,6822.01,6822.01,0.0,4184.72,2637.29,UPI,New,6822.01,0.3866,2024-07,2024Q3,2024
ORD113517,2023-02-02,CUST01895,Ishaan Iyer,PRD-ELE-004,Smartwatch Pro 4,Electronics,Smartwatch,North,Haryana,1,34500.29,34500.29,0.3,28516.18,-4365.98,Credit Card,Returning,24150.2,-0.1808,2023-02,2023Q1,2023
ORD110088,2024-12-06,CUST02490,Aarav Malhotra,PRD-FAS-003,Jeans Max 3,Fashion,Jeans,West,Maharashtra,2,610.94,1221.88,0.05,695.16,465.63,Credit Card,Returning,1160.79,0.4011,2024-12,2024Q4,2024
ORD106773,2023-09-16,CUST01826,Sai Menon,PRD-BEA-010,Perfume Max 10,Beauty,Perfume,North,Delhi,3,1310.51,3931.53,0.2,1978.86,1166.36,UPI,Returning,3145.22,0.3708,2023-09,2023Q3,2023
ORD113226,2023-08-26,CUST03458,Reyansh Patel,PRD-FAS-025,Jacket Max 25,Fashion,Jacket,East,Bihar,2,4210.25,8420.5,0.0,4762.96,3657.54,UPI,Returning,8420.5,0.4344,2023-08,2023Q3,2023
ORD114960,2024-10-17,CUST00284,Aadhya Malhotra,PRD-HOM-018,Vacuum Cleaner Lite 18,Home & Kitchen,Vacuum Cleaner,North,Haryana,1,11809.48,11809.48,0.1,7949.2,2679.33,UPI,New,10628.53,0.2521,2024-10,2024Q4,2024
ORD114079,2024-07-31,CUST00407,Riya Das,PRD-FAS-016,Sneakers Classic 16,Fashion,Sneakers,South,Karnataka,1,2350.49,2350.49,0.05,1299.31,933.66,UPI,New,2232.97,0.4181,2024-07,2024Q3,2024
ORD117004,2024-02-24,CUST03328,Reyansh Bose,PRD-HOM-015,Bedsheet Set Lite 15,Home & Kitchen,Bedsheet Set,North,Delhi,2,11962.8,23925.6,0.1,15558.04,5975.0,Net Banking,New,21533.04,0.2775,2024-02,2024Q1,2024
ORD117427,2024-06-23,CUST00508,Anika Reddy,PRD-BOO-030,Textbook Elite 30,Books,Textbook,West,Rajasthan,1,756.75,756.75,0.1,542.31,138.76,Net Banking,Returning,681.08,0.2037,2024-06,2024Q2,2024
ORD115175,2023-01-10,CUST02172,Ananya Rao,PRD-FAS-028,T-Shirt Basic 28,Fashion,T-Shirt,North,Delhi,2,4821.24,9642.48,0.1,5419.68,3258.55,UPI,Returning,8678.23,0.3755,2023-01,2023Q1,2023
ORD106139,2023-04-27,CUST00572,Sai Nair,PRD-ELE-018,Smartphone Plus 18,Electronics,Smartphone,South,Telangana,1,6499.65,6499.65,0.25,5007.74,-133.0,Credit Card,New,4874.74,-0.0273,2023-04,2023Q2,2023
ORD113540,2023-10-23,CUST03643,Kiara Menon,PRD-HOM-002,Air Purifier Air 2,Home & Kitchen,Air Purifier,East,Odisha,4,10122.88,40491.52,0.0,28194.0,12297.52,Credit Card,Returning,40491.52,0.3037,2023-10,2023Q4,2023
ORD114160,2023-07-28,CUST01359,Riya Iyer,PRD-ELE-021,Smartwatch Lite 21,Electronics,Smartwatch,South,Tamil Nadu,2,59606.92,119213.84,0.1,97755.8,9536.66,UPI,Returning,107292.46,0.0889,2023-07,2023Q3,2023
ORD105501,2024-12-26,CUST03653,Diya Kumar,PRD-HOM-009,Mixer Grinder Air 9,Home & Kitchen,Mixer Grinder,West,Maharashtra,3,11761.56,35284.68,0.05,24542.73,8977.72,UPI,New,33520.45,0.2678,2024-12,2024Q4,2024
ORD109243,2024-02-04,CUST02789,Navya Menon,PRD-FAS-029,Handbag Classic 29,Fashion,Handbag,North,Uttar Pradesh,1,942.38,942.38,0.05,522.11,373.15,Unknown,New,895.26,0.4168,2024-02,2024Q1,2024
ORD102974,2024-04-26,CUST01931,Ananya Kapoor,PRD-FAS-025,Jacket Max 25,Fashion,Jacket,South,Tamil Nadu,3,4042.51,12127.53,0.15,6423.33,3885.07,UPI,Returning,10308.4,0.3769,2024-04,2024Q2,2024
